بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
شاید یه وقتایی به زندگی غر بزنم، اما هیچ وقت از خودم ضعف نشون نمیدم از آه و ناله کردن بدم میاد	Mahsa	M0onSa	not-given			
یَنی پرسپولیسیا واقعن امید دارَن که تو دِیقه تا گُل بزنن؟؟؟؟؟ امید داشته باشین امید داشته باشین دی	Mahsa	M0onSa	not-given			
اینایی که یه چیزی مینویسن که فقط و فقط خودشون معنی ش رو میفهمَن خیلی اوضاشون خرابه؛ مسخره شون نکنین	Mahsa	M0onSa	not-given			
موهام زیادی نرم شده اَه دوس ندارم	Mahsa	M0onSa	not-given			
اگه این پروژه پولش خوب نبود همون دفعه اول میزدم توسر کچل یارو	mohsen	MohsenTTR	35.73821,51.528009			
به دعوت دوستان می خوام بانجی امتحان کنم	mohsen	MohsenTTR	35.73821,51.528009			
بالاترین همه چیز درباره کشور آلبانی via	تاکسی	iranFull	Tehran		@AddThis	http://t.co/YhqfuTMJ
کشور اوکراین در قرن نوزدهم	تاکسی	iranFull	Tehran			http://ping.fm/PEk21
با این سرعت اینترنت نمی شه حتا پورن دانلود کرد	فــيل ســوف	Epicour	پایینِ شهر			
اگه اینترنت ملی شه دیگه ما شاشمون نمیگیره همش؟	فــيل ســوف	Epicour	پایینِ شهر			
پولم نداریم بریم علف بخریم خارشو گاییدم	فــيل ســوف	Epicour	پایینِ شهر			
من باید تو اوج بالایی و چِتی و داغونی مهمون باید بیاد؟ من خیلی بالام الان نریـــنــــم؟؟؟	فــيل ســوف	Epicour	پایینِ شهر			
میشه خودت بیای بگی که چرا رفتی؟	What ever	comeandaskme	not-given			
شاید یکم سبک شم	What ever	comeandaskme	not-given		@1Farish	
اسمایلی خواب	What ever	comeandaskme	not-given			
عالییییییییییییییییییییی بود	What ever	comeandaskme	not-given		@kourosh550	
فرزندمحسن رضایی کشته شد	saman	bamanbeman63	not-given			
ﺑﺎ ﻟیﺰﺭ، چﺸﻢ‌ﻫﺎی ﻗﻬﻮﻩ‌ﺍی، ﺁﺑی ﻣی‌ﺷﻮﻧﺪ	saman	bamanbeman63	not-given			http://t.co/OALrntWj
ایرانیها مرده پرستان خوبی هستند تا دیروز که زنده بود کسی حرفی از او نمیزد همین که رفت؟؟؟؟؟؟؟؟؟؟؟؟	mo mazaheri	rp1368	nederland			
افزايش قيمت نفت election	iranMirror اخبار 	iranMirror	Germany	#iran,#iranelection,#tehran,#IRANmirror		http://t.co/QTHGfBtl
اژه‌ای سایت هاشمی رفسنجانی به دلیل مصادیق مجرمانه فیلتر شده است election	iranMirror اخبار 	iranMirror	Germany	#iran,#iranelection,#tehran,#IRANmirror		http://t.co/QTHGfBtl
هذا تشكيك في وطنيتهم ياحشرة، يتورعون من لبس العقال، ويتقربون الى الله بسب الناس	Abdulazizb	Abdulazizb1	not-given		@hashimcc,@AAlsunnah	
عمر عاشقیتم قد نداد وگرنه همش میخاسم صدا اون یه دونه عشقمو ضبط کنم الانم توش صدا کلاس پی ال سیمه پن جلسه گوش کنی یاد میگیری پول توشه	Amir Gump	AmirGump	not-given			
بعد هیچی دیگه باز میشینی میگی خب اینا الان کیریسمسشونه حرف بدی نیستا بعد ما چی؟ شب یلدامونه بعد تلوزیون میگه شهادت فلانیه ع بعد	Amir Gump	AmirGump	not-given			
اولین دست گرمیم با آرت ریج سادگی همراه با افکت های طبیعی خیلی جالب pic	osiris	osirische	not-given			http://t.co/PFxQrLQn,http://t.co/xeOd8RRQ
من تورو آنفالو كردم؟ چرا نيستي په؟	avestane	avestane	جهنم طبقه همكف كنار پله برقي		@_Ta__Ra_	
من تجربه ي اين حرفتو دارم دي اصن تا الان هيچنيازي به فيسبوك احساس نكردم دي	avestane	avestane	جهنم طبقه همكف كنار پله برقي		@sallark	
آره هست اينجوري نيمه حرفه اي مارك خوب تو اين مدلا ارزون باشه مثلا يكي بود ١تومن من زندگيم ١تومن نمشه دي	avestane	avestane	جهنم طبقه همكف كنار پله برقي		@nnaassiimmm	
گامنو با اينكه با موهاش حال ميكنم اما با اي لباسو موها شبيه فرچه دستشويي شده	avestane	avestane	جهنم طبقه همكف كنار پله برقي			
آبان قتل عام درختای تهران	saba si	SabaSetayeshi	not-given			
حیف شد الان دکتر هو می چسبید	saba si	SabaSetayeshi	not-given			
بانک ها تا اطلاع ثانوی، ازدواج نکنید	کوروش فروهر	KOUROSH	پادگان 			http://t.co/mCjrfo4P
پیامک اومده هفتصدهزار به حسابت واریز شد آخه کی؟ چی؟ چرا؟	کوروش فروهر	KOUROSH	پادگان 			
video iran shiraz ایران شیراز allah akbar	FollowingIran.com	followirantweet	world	#1Esfand,#Feb20,#iran,#shiraz		http://t.co/tKarbjX
عجب دنیایی شده این دنیای ما روزنامه نگاران ایرانی	negar sadeghi	negarsadeghi	iran. journalist			
چقدر بی حوصله ام	negar sadeghi	negarsadeghi	iran. journalist			
یعنی منصور پیش خودش چی فکر کرده آذری خونده با اون لهجه بدش و پرش هایی که اسمشو گذاشته رقص	negar sadeghi	negarsadeghi	iran. journalist			
برو ببین یهو دیدی اونجاست اگه پیداش کردی منم میام	ali fardin	ali_fardin	not-given			
تو تاکسی یه آقایی میگفت زمان شاه شب یلدا کلی برف میومد ، همجا برف نشته بود ، تا زانو تو برف بودیم یه آقای دیگه	babak noshasb	babaknoshasb	not-given			http://t.co/GhHporO6
همیشه سکوتم به معنای پیروزی نیست ، گاهی سکوت میکنم تا بفهمی چه بی صدا باختی	babak noshasb	babaknoshasb	not-given			
جمعه امتحان دوره ای هستو من هیچی نخوندم اصن به درک کشتنمون از بس امتحان گرفتن ما به آزادم راضی هستیم سراسری پیشکش	Black eyed persian	ahoorastar	South Of IRAN  			
سردمه	samane ansari	samaneansari	tehran			
شیکمم داره باهام صحبت میکنه	samane ansari	samaneansari	tehran			
باز مامانم غذا درس کرده بوش داره دیونم میکنه	samane ansari	samaneansari	tehran			
وقتي اينترنت ملي شد براي اپلاي كردن إز طريق دفاتر پيشخوان دولت بايد اقدام كرد	Yasget	yasget	تهران, Tehran, Iran			
برم سمنان يا برم خارجه	Yasget	yasget	تهران, Tehran, Iran			
جا داره ىادى هم بکنىم از	Yasget	yasget	تهران, Tehran, Iran			
سرویس جدید ایرانسل برای ورود به کنترل حساب اینترنتی رمز یکبار مصرف به گوشیتون ارسال میشه	Yasget	yasget	تهران, Tehran, Iran			
بزرگ‌ترين منبع هرزنامه‌هاي جهان از كار افتاد	mohaveri	mohaveri	tehran-iran			http://ow.ly/1bTKkj
متلاشي شدن باند جعل اسكناس در كلمبيا	mohaveri	mohaveri	tehran-iran			http://ow.ly/1bTHDj
منطقه محيط زيستي كه براي گردشگران مناسب نيست	mohaveri	mohaveri	tehran-iran			http://ow.ly/1bSulc
politics عذرخواهي پنتاگون بعد از افشاگري اشپيگل	mohaveri	mohaveri	tehran-iran			http://ow.ly/1bSs9m
