देश विदेश भारतीय सुहागिनों तीज क़ी हार्दिक शुभकामना	Sudhir Karan	SudhirCcl	Ranchi, Jharkhand, India			
क्या पता इनाम मिले	dileep	dileepknp	not-given		@khaskhabar	
अन्ना लिए पत्री मांग राजनेतिक धार्मिक पार्टियों सगंठनो छुट हटनी चाहिए भ्रस्टाचार पहला हमला	dileep	dileepknp	not-given		@indochemkanpur	
युग में भीस्म सामने दोण कॅष॒न सामने बलराम गाँधी सामने सभी नेहरु सामने पटेल संजय	dileep	dileepknp	not-given		@saaurabhshuklaa	
टेक्नोलॉजी आधारित आंदोलन सफल अर्ध विराम	dileep	dileepknp	not-given		@aajtakhindi	
बिहार में मोदी पोस्टर जगह नहीं	sanjeev 	sanjeevdagar09	Haryana			http://t.co/iu6oaFdg
मदर डेयरी फिर बढ़ाए दूध दाम	sanjeev 	sanjeevdagar09	Haryana			http://t.co/xfbOexp
भारत दिखा कैमरून गणित पढ़ने कहा	sanjeev 	sanjeevdagar09	Haryana			http://t.co/VUZzloe
अनशन बैठे स्वामी श्रद्धानंद सरस्वती	sanjeev 	sanjeevdagar09	Haryana			http://t.co/fJ1RXGO
लाख करोड़ खजाना अपशकुन नहीं खुला छठा तहखाना	sanjeev 	sanjeevdagar09	Haryana			http://newshunt.com/share/9940903
राहुल बाबा दिन में घंटेसोयेगे उनका कहना देश भविष्य उनके देखे सपनो परही टिका	sanjeev 	sanjeevdagar09	Haryana			
लिए वर्ष मंगलमय एवं वर्ष में अत्यधिक आनंद समृद्धि सफलता एवं मिले	Anup Kuamr Mishra	ilaanup	Ambikapur, Chhattisgarh		@AnupamPkher,@janlokpal	
अनशन धरना जेल भरो मकसद कांग्रेस हराओ लाओ	Anup Kuamr Mishra	ilaanup	Ambikapur, Chhattisgarh		@janlokpal	
साल संकल्प लिए jail bharo	Anup Kuamr Mishra	ilaanup	Ambikapur, Chhattisgarh		@Moet51,@janlokpal	
लोकपाल नहीं आया जेल भरो आन्दोलन आया देश में जेल भरो योजना शुरू होगा	Anup Kuamr Mishra	ilaanup	Ambikapur, Chhattisgarh		@janlokpal,@digvijaya_28,@thekiranbedi,@sardesairajdeep	
यदि चिदंबरम घोटाले में आरोपित होते हैं शीर्षस्तर पार्टीफंड पर्दाफाश देगें जिससे upa मुश्किल में सकती	Anup Kuamr Mishra	ilaanup	Ambikapur, Chhattisgarh		@janlokpal	
अपने ईमेल स्थिति अद्यतन आपके में इरादा दर्शकों साथ अन्य इंटरनेट संदेश लिखें	भारतीय Netiquette	netiquete_india	साइबरस्पेस भारत			
परेशान कभी इंटरनेट कुछ किसी करता बुरा नेटवर्क शिष्टाचार अपमान निर्माताओं मुसीबत जवाब करो	भारतीय Netiquette	netiquete_india	साइबरस्पेस भारत			
स्वास्थ्य संबंधित जानकारी लिए सम्मानित वेबसाइटों जाँच करें अपने चिकित्सक देखने पहले अपने निदान	भारतीय Netiquette	netiquete_india	साइबरस्पेस भारत			http://lnk.ms/RdhLT
त्रासदियों चौंकाने वाली तस्वीरें पोस्टिंग खराब नेटवर्क शिष्टाचार networketiquette net	भारतीय Netiquette	netiquete_india	साइबरस्पेस भारत			
जवाब मिलने घंटे भीतर संदेश ईमेल करने लिए अच्छा नेटवर्क शिष्टाचार	भारतीय Netiquette	netiquete_india	साइबरस्पेस भारत			
खराब नेटवर्क देखने शिष्टाचार सार्वजनिक में अश्लील	भारतीय Netiquette	netiquete_india	साइबरस्पेस भारत			
खराब नेटवर्क लिए सामाजिक मीडिया में अपने बॉस साथ दोस्ती करना शिष्टाचार	भारतीय Netiquette	netiquete_india	साइबरस्पेस भारत			
free nepal पुस्तकालय दिवस	Nepal Upclose	nepalupclose	Kathmandu, Nepal			http://www.NepalUpclose.com/242146-FullNews-Nepal.aspx
वक्‍त गया सरकार ऑस्‍ट्रेलिया में खेल रहे भारतीय खिलाड़ि‍यों नॉन स्‍टेट एक्‍टर घोषित	Fakingnewshindi	hindifakingnews	New Delhi			
बैट्समैन नही रहे बॉलिग काम नही रही ऐसे ऑस्ट्रेलिया नुकसान पहुंचाने तरीका भारत उससे यूरेनियम खरीदने इंकार दे।	Fakingnewshindi	hindifakingnews	New Delhi			
बीसीसीआई टीम इंडिया धमकी सीरीज़ हारे खिलाड़ी मिलेगी बजाज कार फ़ेकिंग न्यूज़	Fakingnewshindi	hindifakingnews	New Delhi			http://t.co/uxxzqfDw
वक्त गया अन्ना तबीयत बहाना बनाकर टीम इंडिया वापिस जाए	Fakingnewshindi	hindifakingnews	New Delhi			
